Lea State,LEA,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Stewart Creek High School,3700374,2015,Salary Amount for Total Personnel (instructional support services and school administration),582812,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,Salary Amount for Teachers,238364,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,Instructional Aides,0,0,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,School Administration Staff,314711,3,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,Support Services Staff (for Pupils and for Instructional Staff),29737,2,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,Non-Personnel Expenditures,948798,,,,,,,,,,,,
NC,Stewart Creek High School,3700374,2015,Total enrollment,,,0,0,0,5,106,2,2,115,4,0,0
NC,Charlotte Secondary School,3700143,2015,Salary Amount for Total Personnel (instructional support services and school administration),1750333,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,Salary Amount for Teachers,1349343,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,Instructional Aides,49708,2,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,School Administration Staff,245774,3,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,Support Services Staff (for Pupils and for Instructional Staff),105507,2,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,Non-Personnel Expenditures,943863,,,,,,,,,,,,
NC,Charlotte Secondary School,3700143,2015,Total enrollment,,,0,4,0,52,193,193,31,473,95,31,10
NC,Charlotte Learning Academy,3700357,2015,Salary Amount for Total Personnel (instructional support services and school administration),665656,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,Salary Amount for Teachers,477726,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,Instructional Aides,52346,2,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,School Administration Staff,129583,2,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,Support Services Staff (for Pupils and for Instructional Staff),6000,0.5,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,Non-Personnel Expenditures,696773,,,,,,,,,,,,
NC,Charlotte Learning Academy,3700357,2015,Total enrollment,,,7,0,0,16,172,7,7,209,29,0,4
NC,Corvian Community School,3700327,2015,Salary Amount for Total Personnel (instructional support services and school administration),2390193,,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,Salary Amount for Teachers,1366675,,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,Instructional Aides,431187,31,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,School Administration Staff,221551,5,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,Support Services Staff (for Pupils and for Instructional Staff),370779,13,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,Non-Personnel Expenditures,1414039,,,,,,,,,,,,
NC,Corvian Community School,3700327,2015,Total enrollment,,,0,31,0,28,52,472,22,605,80,22,2
NC,Charlotte Choice Charter,3700339,2015,Salary Amount for Total Personnel (instructional support services and school administration),985319,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,Salary Amount for Teachers,753985,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,Instructional Aides,71291,2,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,School Administration Staff,104306,2,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,Support Services Staff (for Pupils and for Instructional Staff),55735,2,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,Non-Personnel Expenditures,1124134,,,,,,,,,,,,
NC,Charlotte Choice Charter,3700339,2015,Total enrollment,,,0,2,0,49,274,2,7,334,17,0,13
NC,Pioneer Springs Community School,3700359,2015,Salary Amount for Total Personnel (instructional support services and school administration),842079,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,Salary Amount for Teachers,516272,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,Instructional Aides,233899,5,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,School Administration Staff,64587,7,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,Support Services Staff (for Pupils and for Instructional Staff),27319,7,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,Non-Personnel Expenditures,534360,,,,,,,,,,,,
NC,Pioneer Springs Community School,3700359,2015,Total enrollment,,,0,13,0,13,5,175,16,222,26,0,2
NC,United Community School,3700367,2015,Salary Amount for Total Personnel (instructional support services and school administration),671554,,,,,,,,,,,,
NC,United Community School,3700367,2015,Salary Amount for Teachers,377276,,,,,,,,,,,,
NC,United Community School,3700367,2015,Instructional Aides,164753,9,,,,,,,,,,,
NC,United Community School,3700367,2015,School Administration Staff,97759,2,,,,,,,,,,,
NC,United Community School,3700367,2015,Support Services Staff (for Pupils and for Instructional Staff),31763,2,,,,,,,,,,,
NC,United Community School,3700367,2015,Non-Personnel Expenditures,410268,,,,,,,,,,,,
NC,United Community School,3700367,2015,Total enrollment,,,0,0,2,10,82,55,22,171,17,4,0
NC,Charlotte Lab School,3700391,2015,Salary Amount for Total Personnel (instructional support services and school administration),1073650,,,,,,,,,,,,
NC,Charlotte Lab School,3700391,2015,Salary Amount for Teachers,681312,,,,,,,,,,,,
